new_line_id,epe_line_id,voltage_V,length_km
274,ml_line_274,230000.0,27.95392942
275,ml_line_275,230000.0,151.53440669
276,ml_line_276,230000.0,23.44685674
277,ml_line_277,230000.0,46.57134315
278,ml_line_278,345000.0,220.91891727
279,ml_line_279,500000.0,214.42059568
280,ml_line_280,230000.0,23.96716053
281,ml_line_281,230000.0,44.17445586
282,ml_line_282,440000.0,49.46795719
283,ml_line_283,345000.0,112.06936872
284,ml_line_284,500000.0,366.94275564
285,ml_line_285,230000.0,99.82099805
286,ml_line_286,230000.0,74.70403102
287,ml_line_287,230000.0,93.04477604
288,ml_line_288,440000.0,309.08524619
289,ml_line_289,230000.0,13.53909587
290,ml_line_290,500000.0,369.7938473
291,ml_line_291,230000.0,79.07876468
292,ml_line_292,230000.0,1.18980457
293,ml_line_293,230000.0,85.47168191
294,ml_line_294,230000.0,64.41679068
295,ml_line_295,525000.0,0.78878116
296,ml_line_296,525000.0,122.17700319
297,ml_line_297,500000.0,91.37613051
298,ml_line_298,230000.0,2.37603273
299,ml_line_299,230000.0,34.64903864
300,ml_line_300,230000.0,9.30701978
301,ml_line_301,500000.0,88.27709345
302,ml_line_302,500000.0,203.86829315
303,ml_line_303,230000.0,0.62171015
304,ml_line_304,525000.0,132.32700273
305,ml_line_305,230000.0,103.12054133
306,ml_line_306,440000.0,107.12089578
307,ml_line_307,230000.0,0.71754784
308,ml_line_308,230000.0,2.74736399
309,ml_line_309,230000.0,11.38001056
310,ml_line_310,500000.0,2.05022568
311,ml_line_311,500000.0,1.52140366
312,ml_line_312,230000.0,19.52726565
313,ml_line_313,345000.0,4.62373426
314,ml_line_314,230000.0,95.13930888
315,ml_line_315,230000.0,0.18667643
316,ml_line_316,230000.0,21.61212247
317,ml_line_317,500000.0,329.30614641
318,ml_line_318,440000.0,18.41456986
319,ml_line_319,230000.0,1.79161131
320,ml_line_320,230000.0,207.36802988
321,ml_line_321,230000.0,23.80274793
322,ml_line_322,500000.0,152.56563772
323,ml_line_323,500000.0,191.86555211
324,ml_line_324,230000.0,9.64652951
325,ml_line_325,230000.0,47.35906874
326,ml_line_326,230000.0,15.57057963
327,ml_line_327,230000.0,295.22716703
328,ml_line_328,345000.0,78.68420051
329,ml_line_329,500000.0,176.06772339
330,ml_line_330,230000.0,128.55296779
331,ml_line_331,230000.0,5.57872848
332,ml_line_332,440000.0,10.7980199
333,ml_line_333,500000.0,5.92324285
334,ml_line_334,230000.0,78.71062619
335,ml_line_335,500000.0,286.71345748
336,ml_line_336,230000.0,122.8731484
337,ml_line_337,345000.0,26.20833559
338,ml_line_338,500000.0,188.55649816
339,ml_line_339,230000.0,41.25306124
340,ml_line_340,230000.0,52.7715733
341,ml_line_341,525000.0,176.41266894
342,ml_line_342,230000.0,0.77484178
343,ml_line_343,345000.0,143.95955393
344,ml_line_344,500000.0,18.56157733
345,ml_line_345,500000.0,255.85523285
346,ml_line_346,230000.0,99.46131589
347,ml_line_347,500000.0,46.70918892
348,ml_line_348,230000.0,26.67384351
349,ml_line_349,230000.0,160.59982203
350,ml_line_350,230000.0,1.60627909
351,ml_line_351,230000.0,148.66566355
352,ml_line_352,500000.0,315.26326396
353,ml_line_353,230000.0,1.62799898
354,ml_line_354,230000.0,24.69103763
355,ml_line_355,230000.0,95.6386977
356,ml_line_356,230000.0,104.86655653
357,ml_line_357,500000.0,0.73658072
358,ml_line_358,230000.0,120.33284431
359,ml_line_359,230000.0,3.38528312
360,ml_line_360,500000.0,13.89264006
361,ml_line_361,230000.0,9.84973607
